iter	Passed	Remaining
0	148	148159
1	149	74373
2	149	49736
3	150	37410
4	150	30010
5	151	25080
6	151	21560
7	152	18919
8	153	16871
9	153	15239
10	154	13896
11	155	12772
12	155	11821
13	156	11007
14	156	10305
15	157	9689
16	158	9143
17	158	8659
18	159	8228
19	159	7836
20	160	7480
21	161	7158
22	161	6863
23	162	6592
24	162	6341
25	163	6110
26	163	5896
27	164	5698
28	164	5514
29	165	5341
30	165	5184
31	166	5033
32	167	4894
33	167	4766
34	168	4641
35	168	4523
36	169	4417
37	170	4314
38	171	4222
39	172	4134
40	172	4044
41	173	3960
42	174	3878
43	174	3802
44	175	3726
45	176	3654
46	176	3586
47	177	3519
48	178	3458
49	178	3398
50	179	3340
51	180	3283
52	180	3228
53	181	3175
54	181	3126
55	182	3080
56	183	3034
57	184	2994
58	185	2952
59	185	2911
60	186	2873
61	187	2833
62	188	2796
63	188	2760
64	189	2724
65	189	2688
66	190	2653
67	191	2619
68	191	2587
69	192	2556
70	193	2525
71	193	2496
72	194	2467
73	194	2438
74	195	2409
75	196	2383
76	196	2358
77	197	2333
78	198	2308
79	198	2284
80	199	2261
81	199	2237
82	200	2211
83	200	2188
84	201	2166
85	201	2144
86	202	2122
87	202	2101
88	203	2080
89	203	2060
90	204	2041
91	204	2022
92	205	2003
93	205	1984
94	206	1966
95	206	1948
96	207	1931
97	207	1914
98	208	1897
99	209	1881
100	209	1864
101	210	1849
102	210	1834
103	211	1819
104	211	1806
105	212	1793
106	213	1779
107	213	1766
108	214	1752
109	215	1739
110	215	1726
111	216	1713
112	216	1700
113	217	1687
114	217	1674
115	218	1662
116	218	1649
117	219	1637
118	219	1625
119	220	1614
120	220	1602
121	221	1590
122	221	1579
123	222	1568
124	222	1558
125	223	1547
126	223	1536
127	224	1526
128	224	1516
129	225	1506
130	225	1496
131	226	1487
132	226	1478
133	227	1470
134	228	1462
135	228	1453
136	229	1444
137	229	1436
138	230	1427
139	231	1419
140	231	1411
141	232	1401
142	232	1393
143	233	1385
144	233	1377
145	234	1369
146	234	1361
147	235	1353
148	235	1346
149	236	1338
150	236	1330
151	237	1323
152	237	1316
153	238	1309
154	238	1301
155	239	1294
156	239	1287
157	240	1280
158	240	1274
159	241	1267
160	241	1260
161	242	1254
162	243	1248
163	243	1242
164	244	1236
165	244	1229
166	245	1223
167	245	1217
168	246	1211
169	246	1205
170	247	1199
171	247	1193
172	248	1187
173	248	1182
174	249	1176
175	250	1170
176	250	1165
177	251	1159
178	251	1154
179	252	1148
180	252	1143
181	253	1137
182	253	1132
183	254	1127
184	254	1122
185	255	1116
186	255	1112
187	256	1106
188	257	1102
189	257	1098
190	258	1094
191	258	1089
192	259	1084
193	260	1080
194	260	1075
195	261	1070
196	261	1066
197	262	1061
198	262	1057
199	263	1052
200	263	1048
201	264	1043
202	264	1039
203	265	1034
204	265	1030
205	266	1026
206	266	1021
207	267	1017
208	267	1013
209	268	1009
210	268	1005
211	269	1001
212	269	997
213	270	993
214	270	989
215	271	985
216	272	981
217	272	977
218	273	974
219	273	971
220	274	967
221	275	964
222	275	961
223	276	958
224	277	954
225	277	951
226	278	948
227	279	945
228	279	942
229	280	939
230	281	936
231	282	933
232	282	930
233	283	927
234	284	924
235	284	921
236	285	918
237	286	916
238	286	913
239	287	910
240	288	909
241	289	906
242	290	903
243	290	901
244	291	898
245	292	895
246	293	893
247	293	890
248	294	887
249	295	885
250	295	882
251	296	879
252	296	876
253	297	874
254	298	871
255	298	868
256	299	866
257	300	863
258	301	861
259	301	859
260	302	857
261	303	855
262	304	853
263	305	851
264	306	849
265	306	846
266	307	844
267	308	842
268	309	839
269	309	837
270	310	834
271	310	832
272	311	830
273	312	827
274	313	825
275	313	823
276	314	820
277	315	818
278	315	815
279	316	813
280	317	811
281	318	810
282	319	808
283	319	806
284	320	804
285	321	802
286	321	799
287	322	797
288	323	795
289	324	793
290	324	791
291	325	789
292	326	787
293	326	784
294	327	782
295	328	780
296	328	777
297	329	775
298	330	773
299	330	771
300	331	769
301	331	767
302	332	765
303	333	763
304	334	761
305	334	759
306	335	757
307	336	755
308	336	753
309	337	751
310	338	749
311	338	747
312	339	745
313	340	743
314	340	741
315	341	739
316	342	736
317	342	734
318	343	732
319	343	730
320	344	728
321	344	726
322	345	724
323	346	722
324	346	720
325	347	718
326	348	717
327	349	715
328	349	713
329	350	711
330	351	709
331	351	707
332	352	705
333	352	703
334	353	701
335	354	699
336	354	697
337	355	695
338	355	693
339	356	691
340	357	690
341	357	688
342	358	686
343	358	684
344	359	682
345	360	680
346	360	679
347	361	677
348	361	675
349	362	673
350	363	671
351	364	670
352	364	668
353	365	666
354	366	665
355	366	663
356	367	661
357	367	659
358	368	658
359	369	656
360	369	654
361	370	653
362	371	651
363	372	650
364	372	648
365	373	647
366	374	645
367	374	643
368	375	641
369	375	640
370	376	638
371	377	636
372	377	635
373	378	633
374	379	632
375	380	630
376	380	629
377	381	627
378	381	625
379	382	624
380	383	622
381	383	620
382	384	619
383	384	617
384	385	615
385	386	614
386	386	612
387	387	610
388	387	609
389	388	607
390	389	605
391	389	604
392	390	602
393	390	601
394	391	599
395	391	597
396	392	596
397	393	594
398	394	593
399	394	592
400	395	590
401	396	589
402	396	587
403	397	586
404	397	584
405	398	582
406	398	581
407	399	579
408	400	578
409	400	576
410	401	575
411	401	573
412	402	571
413	402	570
414	403	568
415	404	567
416	404	565
417	405	564
418	405	562
419	406	561
420	406	559
421	407	558
422	408	556
423	408	555
424	409	554
425	410	553
426	411	551
427	411	550
428	412	548
